"","year","region","mean_precip","mean_precip_v1"
"1",2,"mesa_verde",460.2903219,14.69212262
"2",3,"mesa_verde",467.2865363,6.996906036
"3",4,"mesa_verde",474.5625811,7.276887865
"4",5,"mesa_verde",459.4518257,-15.11243667
"5",6,"mesa_verde",463.3697759,3.918347346
"6",7,"mesa_verde",453.4372458,-9.93351432
"7",8,"mesa_verde",417.3365493,-36.10462995
"8",9,"mesa_verde",401.8060915,-15.53218528
"9",10,"mesa_verde",422.9318811,21.12809877
"10",11,"mesa_verde",425.7314831,2.799879582
"11",12,"mesa_verde",380.8143766,-44.92188176
"12",13,"mesa_verde",419.1542355,38.34396842
"13",14,"mesa_verde",426.0125465,6.858998995
"14",15,"mesa_verde",396.7670243,-29.24866123
"15",16,"mesa_verde",411.8804621,15.11504331
"16",17,"mesa_verde",385.7152592,-26.16791831
"17",18,"mesa_verde",374.099139,-11.61745287
"18",19,"mesa_verde",411.7376265,37.6425597
"19",20,"mesa_verde",410.8982651,-0.839435936
"20",21,"mesa_verde",428.24894,17.35252384
"21",22,"mesa_verde",400.5436532,-27.7082396
"22",23,"mesa_verde",420.5523492,20.01086343
"23",24,"mesa_verde",366.1243186,-54.43394215
"24",25,"mesa_verde",336.1816432,-29.94593104
"25",26,"mesa_verde",363.045665,26.86693731
"26",27,"mesa_verde",439.8623778,76.82501406
"27",28,"mesa_verde",466.5901402,26.73063223
"28",29,"mesa_verde",464.4885784,-2.101852653
"29",30,"mesa_verde",400.4055118,-64.0899521
"30",31,"mesa_verde",379.4181232,-20.98958784
"31",32,"mesa_verde",396.9069395,17.49064961
"32",33,"mesa_verde",386.9721381,-9.935840352
"33",34,"mesa_verde",402.922017,15.95161903
"34",35,"mesa_verde",356.8891581,-46.0378258
"35",36,"mesa_verde",347.376763,-9.513361911
"36",37,"mesa_verde",378.9968201,31.6233704
"37",38,"mesa_verde",397.4660163,18.47117488
"38",39,"mesa_verde",372.4222549,-25.0464353
"39",40,"mesa_verde",376.7595613,4.337755857
"40",41,"mesa_verde",413.0014061,36.24584427
"41",42,"mesa_verde",404.1829627,-8.819477493
"42",43,"mesa_verde",406.5606991,2.37799602
"43",44,"mesa_verde",336.1816432,-70.3866602
"44",45,"mesa_verde",375.2174656,39.03996736
"45",46,"mesa_verde",413.0014061,37.78817431
"46",47,"mesa_verde",367.9419616,-45.06435193
"47",48,"mesa_verde",386.5552046,18.61520255
"48",49,"mesa_verde",411.4598295,24.90725739
"49",50,"mesa_verde",427.8297785,16.37183753
"50",51,"mesa_verde",365.5648308,-62.27173647
"51",52,"mesa_verde",343.1774898,-22.38968386
"52",53,"mesa_verde",366.825928,23.65098593
"53",54,"mesa_verde",397.885697,31.06309007
"54",55,"mesa_verde",372.1399801,-25.74848036
"55",56,"mesa_verde",354.5113351,-17.63063271
"56",57,"mesa_verde",354.930064,0.418850889
"57",58,"mesa_verde",374.3794021,19.45139009
"58",59,"mesa_verde",366.6829627,-7.697313076
"59",60,"mesa_verde",402.922017,36.24306156
"60",61,"mesa_verde",402.2242148,-0.697872502
"61",62,"mesa_verde",412.5764688,10.35341916
"62",63,"mesa_verde",379.5553344,-33.02477154
"63",64,"mesa_verde",393.271805,13.71794752
"64",65,"mesa_verde",360.6666955,-32.60860301
"65",66,"mesa_verde",410.3393831,49.67802102
"66",67,"mesa_verde",373.2625032,-37.08094481
"67",68,"mesa_verde",361.507701,-11.75605273
"68",69,"mesa_verde",368.6444795,7.137588571
"69",70,"mesa_verde",409.6413645,41.00133337
"70",71,"mesa_verde",438.7434023,29.10517616
"71",72,"mesa_verde",403.3428442,-35.40431485
"72",73,"mesa_verde",400.6851043,-2.658041543
"73",74,"mesa_verde",371.7199316,-28.96834951
"74",75,"mesa_verde",378.8577486,7.138603468
"75",76,"mesa_verde",359.9673358,-18.89252125
"76",77,"mesa_verde",361.507701,1.540525583
"77",78,"mesa_verde",363.7438133,2.236403743
"78",79,"mesa_verde",376.7595613,13.01713127
"79",80,"mesa_verde",419.0136281,42.25866538
"80",81,"mesa_verde",366.1243186,-52.89503175
"81",82,"mesa_verde",414.6782686,48.55907675
"82",83,"mesa_verde",403.2037726,-11.47572479
"83",84,"mesa_verde",416.915138,13.71296076
"84",85,"mesa_verde",355.9086701,-61.01306267
"85",86,"mesa_verde",391.0313446,35.12643852
"86",87,"mesa_verde",446.8600632,55.83482654
"87",88,"mesa_verde",342.6155793,-104.2558226
